time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
96,846,40,81920,-0.010108627454610542,0.8643897,0.159521484375,390,-0.021060936152935028,0.2,0.018912006,0.008716271608136594,-0.7052027225494385,0.0003
99,846,41,83968,-0.009068505326285958,0.4819904,0.164013671875,400,-0.008458316326141357,0.2,0.022062354,0.01117822533560684,-0.5969440041109919,0.0003
101,846,42,86016,-0.00624786920088809,0.915007,0.1544921875,410,-0.002384328516200185,0.2,0.017357005,0.0079340265787323,-0.66552391089499,0.0003
104,845,43,88064,-0.016964006397756748,0.9397083,0.206591796875,420,-0.03283378481864929,0.2,0.024412364,0.006478857291222084,-0.6696193933486938,0.0003
106,845,44,90112,-0.007825101249909493,0.90019864,0.13876953125,430,-0.03589431196451187,0.2,0.015724216,0.007809032835939434,-0.5692044253461063,0.0003
109,845,45,92160,-0.017050488298991695,0.8628242,0.22568359375,440,-0.06777266412973404,0.2,0.025707152,0.00808668919489719,-0.6355523584410548,0.0003
111,845,46,94208,-0.02859326836478431,0.90168864,0.257275390625,450,-0.05508589744567871,0.2,0.030132905,0.006538341221312294,-0.6522007744759322,0.0003
113,844,47,96256,-0.022162766817200464,0.83419603,0.253515625,460,-0.08259080350399017,0.2,0.05832989,0.008799091953551396,-0.5387347634881735,0.0003
116,844,48,98304,-0.008498263142246287,0.8791233,0.154541015625,470,0.002541561610996723,0.2,0.041609675,0.00703972718474688,-0.5506144484505058,0.0003
118,844,49,100352,-0.006670694010972511,0.932026,0.177685546875,480,-0.02498740702867508,0.2,0.048836343,0.007512227592087584,-0.5101816941983998,0.0003
121,844,50,102400,-0.02899880510667572,0.7388768,0.260693359375,490,-0.010382314212620258,0.2,0.03317063,0.009458240617823322,-0.6145843914709985,0.0003
123,844,51,104448,-0.005669164688151795,0.62561727,0.2103515625,500,-0.021605372428894043,0.2,0.20272177,0.006831706636876334,-0.5334499267861247,0.0003
126,844,52,106496,-0.012832167465239764,0.4678167,0.2314453125,510,-0.05592600256204605,0.2,0.036030594,0.011114143399754538,-0.5524703955277801,0.0003
128,844,53,108544,-0.012312615475821076,0.66127586,0.20048828125,520,-0.04986018314957619,0.2,0.024495758,0.012595580611377954,-0.6393096424639225,0.0003
131,844,54,110592,-0.012996762611874147,0.6856972,0.21875,530,-0.01827666535973549,0.2,0.02011496,0.011146277798980008,-0.5734534359537065,0.0003
133,844,55,112640,-0.010519616857345681,0.8421625,0.184912109375,540,-0.026028936728835106,0.2,0.014797723,0.008015110420819838,-0.6207484852522611,0.0003
135,843,56,114688,-0.02209900166344596,0.7731207,0.232373046875,550,-0.06616557389497757,0.2,0.058347017,0.01096053755027242,-0.5108117180876434,0.0003
138,843,57,116736,-0.016496627034211998,0.7757355,0.190283203125,560,0.0030206693336367607,0.2,0.037431408,0.009384218232298736,-0.5839148450642824,0.0003
140,843,58,118784,-0.010002210547099821,0.8260577,0.18271484375,570,-0.041750095784664154,0.2,0.014656523,0.00849601610098034,-0.607372609898448,0.0003
143,843,59,120832,-0.014794844672724138,0.63072,0.231396484375,580,-0.056838762015104294,0.2,0.034406446,0.01195791137870401,-0.556565449386835,0.0003
145,843,60,122880,-0.011856630007969216,0.7710214,0.175146484375,590,0.00887448713183403,0.2,0.0228343,0.008169007425021847,-0.587255684286356,0.0003
148,843,61,124928,-0.011803822990623302,0.79177,0.16259765625,600,-0.03215678781270981,0.2,0.014912932,0.010704152002290357,-0.5582154669798911,0.0003
